city,region,country,rank_display,institution,location code,size,focus,research,status,ar_score,er_score,fsr_score,cpf_score,ifr_score,isr_score,irn_score,ger_score,sus_score,overall_score,year,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,check_city,longitude,latitude
Charlottesville,North America,United States,260,University of Virginia,US,L,FC,VH,A,35.6,32,56.9,34.1,7.9,10.8,57.7,68.5,63.1,38.5,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-78.51055212,38.03355287
Nashville,North America,United States,261,Vanderbilt University,US,L,FC,VH,B,25.2,19.8,100,37.2,36.4,34.6,47.1,35.7,51.2,38.4,2024,77,51.8,65,78.4,71,114.4,yes,-86.80523002,36.14470337
Warsaw,Europe,Poland,262,University of Warsaw ,PL,XL,CO,VH,A,48.7,53.4,41.9,6.3,9.8,8.6,62.1,36.7,80,38.1,2024,46,26.4,36.7,38.2,41.4,73,yes,21.01602628,52.24034627
Yogyakarta,Asia,Indonesia,263,Gadjah Mada University,ID,XL,FC,HI,A,51.7,66.5,54.4,1.7,38.5,1.6,2.1,42.6,47.2,38,2024,28.5,8.3,18.9,33.6,14.4,25.8,no,110.3678526,-7.76650302
Boulder,North America,United States,264,University of Colorado Boulder,US,XL,CO,VH,A,36.9,13.5,33.2,49.4,27.1,5.5,68.6,30.8,96.4,37.9,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-105.268562,40.0073498
Johannesburg,Africa,South Africa,264,University of Witwatersrand,ZA,L,FC,VH,A,25.7,43,10.9,27.7,79.9,7.5,92.4,96.7,62.5,37.9,2024,36.1,10.8,24.1,28.9,29.4,88.3,yes,28.02222924,-26.1884992
Ulsan,Asia,South Korea,266,Ulsan National Institute of Science and Technology (UNIST),KR,S,FO,VH,A,15,11.9,84.1,98.6,41.5,10.9,1.2,8.4,1.8,37.7,2024,64.4,17.1,42,83.1,32.4,90.6,no,129.1870541,35.57341757
Lisbon ,Europe,Portugal,266,University of Lisbon ,PT,XL,FC,VH,A,42.2,21,12.7,35.1,9.3,30.7,97.4,65.8,66.5,37.7,2024,46.6,25.4,36.5,42.9,37.9,46.5,no,-9.160819924,38.75265777
Linkoping,Europe,Sweden,268,Linkoping University,SE,L,CO,VH,A,19,26.6,34.8,48.8,77.8,30.3,57.9,34.7,87.4,37.5,2024,62.2,23.1,43.6,61.8,56.1,94.6,no,15.57343228,58.39783637
Irvine,North America,United States,268,"University of California, Irvine",US,XL,FC,VH,A,37.6,16.6,14.6,50.3,56.9,49.6,65.3,11.4,58.6,37.5,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-117.8583561,33.65339812
Cologne,Europe,Germany,268,University of Cologne,DE,L,FO,VH,A,36.9,38.5,19.3,31.2,40.5,30.9,80.9,37,57.4,37.5,2024,61.2,26.5,44.7,59.7,50.7,106.5,yes,6.926785877,50.92826317
Kharagpur,Asia,India,271,Indian Institute of Technology Kharagpur (IIT-KGP),IN,L,FO,VH,A,32.2,43.5,11.8,85.8,3.1,1.3,10.7,21.5,18,37.4,2024,22.2,6.2,14.6,23.5,15.6,60.7,no,87.30795618,22.31492738
Beijing,Asia,China,272,Beijing Normal University ,CN,L,CO,VH,A,38.4,6.8,25.6,86.4,7.1,23.3,22.8,12.2,30.5,37.3,2024,37.1,26.4,32,37.8,23.9,82.2,yes,116.3546162,39.94890402
Leicester,Europe,United Kingdom,272,University of Leicester,UK,L,FC,VH,A,21.2,14.2,36.1,45.3,80.8,94.1,75.7,17.8,50.9,37.3,2024,63.7,33.5,49.4,55.5,63.9,90.1,no,-1.127207423,52.62113927
Raleigh,North America,United States,274,North Carolina State University,US,XL,CO,VH,A,27.8,25,8.9,67.3,63,15.3,49.6,20.8,64.5,37.2,2024,77.3,53.7,66.1,75.9,73.2,101.1,yes,-78.68385732,35.78507437
Wuhan,Asia,China,275,Huazhong University of Science and Technology,CN,XL,FC,VH,A,22.7,29.2,10,99.3,5.5,3.2,45.4,16.8,27.1,37.1,2024,32.7,8.6,21.2,35.7,19.2,60.7,yes,114.4177007,30.51300427
Milan,Europe,Italy,276,University of Milan,IT,XL,FC,VH,A,51.2,12.7,5.6,47.8,7.5,6.8,59,24.2,92.1,37,2024,69.7,40.6,55.9,65,70.1,49.8,yes,9.191554876,45.46034197
Glasgow,Europe,United Kingdom,276,University of Strathclyde,UK,L,CO,VH,A,26.3,34.6,17.7,33.7,93.3,67,61.6,24,59.2,37,2024,66.2,31.7,49.8,58.3,64.5,94.5,yes,-4.246108273,55.86154382
Kanpur,Asia,India,278,Indian Institute of Technology Kanpur (IITK),IN,M,CO,VH,A,34.7,49.3,14.2,75.5,2.1,1.1,3.3,20.6,21.8,36.9,2024,22.2,6.2,14.6,23.5,15.6,60.7,no,80.23032508,26.51233878
Miami,North America,United States,278,University of Miami,US,L,FC,VH,B,20.1,44.7,76.8,19.2,84.2,22.8,55,37,50.6,36.9,2024,77.7,71.4,74.7,71,87.4,90.9,yes,-80.28070112,25.71739468
Pamplona,Europe,Spain,280,University of Navarra,ES,L,FC,HI,B,29,61.2,56.5,15.1,25.2,74.8,28.9,28.4,45.6,36.8,2024,48.4,23.6,36.6,45.1,44,78.2,no,-1.662033624,42.80146917
Bandung,Asia,Indonesia,281,Bandung Institute of Technology (ITB),ID,L,CO,VH,A,41,65.6,65.6,2.5,84.4,2.3,1.2,35.7,21.2,36.6,2024,28.5,8.3,18.9,33.6,14.4,25.8,no,107.6080842,-6.89147999
Bergen,Europe,Norway,281,University of Bergen,NO,L,FC,VH,A,32.7,5.4,67.1,31.2,92.3,14.3,69.3,23.6,57.7,36.6,2024,84.5,28,57.7,83.1,81.9,82.2,yes,5.319179977,60.38785858
Stellenbosch,Africa,South Africa,283,Stellenbosch University,ZA,L,FC,VH,A,25,39.4,3.1,59.9,20,7.8,92,50.1,44.1,36.5,2024,33.8,11.8,23.4,27.6,28.7,84.7,no,18.86187208,-33.93280777
Subang Jaya,Asia,Malaysia,284,Taylor's University,MY,S,FO,VH,C,24,82.8,63.3,8.5,54.1,98.8,3.8,10.5,2.3,36.2,2024,30.5,8.2,19.9,35.4,18.3,62.1,no,97.5169598,3.683195963
Chennai,Asia,India,285,Indian Institute of Technology Madras (IITM),IN,M,CO,VH,A,40.1,55.9,26.6,54.7,2.6,1.4,2.7,26,6.5,36.1,2024,22.7,5.8,14.7,26.1,12.6,82.6,yes,80.23111578,12.99149289
Melbourne,Oceania,Australia,285,Swinburne University of Technology,AU,L,CO,VH,A,13.4,12,11,89.5,97.9,65.5,23.9,10.8,25.8,36.1,2024,70.2,42,56.9,68.8,64.1,100.5,yes,82.9169295,-12.4416045
Tucson,North America,United States,285,The University of Arizona,US,XL,FC,VH,A,38.5,18.4,72.5,19.5,11,9.3,88,31,71.5,36.1,2024,78.2,37.3,58.8,76.3,75,105.4,yes,-110.9561156,32.23189807
Tianjin,Asia,China,285,Tianjin University,CN,L,CO,VH,A,18.7,8.6,34.7,98.2,24.3,27.4,18.6,24,25.6,36.1,2024,34.1,13.4,24.3,37.6,21,60.5,no,116.7234696,39.18910164
Galway,Europe,Ireland,289,University of Galway,IE,L,FC,HI,A,26.3,28.2,61.2,13.5,92.3,39.3,45.7,30.7,90.6,36,2024,62.4,42.9,53.1,58.2,59.6,86.3,yes,-9.064312123,53.27915487
Al Ain,Asia,United Arab Emirates,290,United Arab Emirates University,AE,M,FC,VH,A,28.3,37.8,52.6,13.8,100,38.7,56.5,60.9,16.3,35.9,2024,57.8,46.9,52.6,45,50,98.7,no,55.67345908,24.20058798
Xian ,Asia,China,291,Xian Jiaotong University,CN,XL,FC,VH,A,21.4,42.2,17.4,80.9,4.4,4.1,36.8,20.8,34.6,35.8,2024,34.1,13.4,24.3,37.6,21,60.5,no,108.9811181,34.25080297
Trondheim,Europe,Norway,292,Norwegian University of Science And Technology,NO,XL,FC,VH,A,34,19.4,23.6,27.5,76.1,10.3,88.9,51,65.7,35.7,2024,86.3,30.2,59.7,77.9,87.9,91.5,yes,10.38606314,63.42426723
Cork,Europe,Ireland,292,University College Cork,IE,L,FC,VH,A,28.4,36.3,29.4,21.6,94.8,47.1,25.1,23.5,96.1,35.7,2024,68.7,43,56.5,62.1,66,91.2,yes,-8.494645423,51.89348597
Grenoble,Europe,France,294,Universite Grenoble Alpes,FR,XL,FC,VH,A,44.5,10.1,7.8,48.8,18.4,34.9,92.6,14.2,40.8,35.6,2024,66,22.3,45.3,68.6,57.9,83.4,no,5.704550531,45.19163244
Hong Kong,Asia,Hong Kong (China),295,Hong Kong Baptist University,HK,M,CO,VH,A,19.4,12.6,56,51.9,97.8,100,2.6,15.1,17.2,35.4,2024,71.5,61.4,66.7,79.6,47,84.1,yes,114.1773008,22.34080877
Norwich,Europe,United Kingdom,295,University of East Anglia (UEA),UK,L,FC,VH,A,19.2,8.5,16.8,66,68,38.2,64.8,12.7,84.3,35.4,2024,63.7,33.5,49.4,55.5,63.9,90.1,no,1.238508877,52.62205227
Washington D.C.,North America,United States,297,Georgetown University,US,L,FC,VH,B,30.3,34.4,59,18.6,17,39.8,14.4,87.8,66.8,35.3,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-77.07483342,38.90760887
Halifax,North America,Canada,298,Dalhousie University,CA,L,FC,VH,A,19.2,18,16,41.8,99,74.7,37.2,21.6,94.4,34.9,2024,69.6,37,54.2,72.5,61.6,72.4,yes,-63.59774862,44.63563127
New Brunswick,North America,United States,299,Rutgers University New Brunswick,US,XL,CO,VH,A,36.9,24.7,48.7,18.1,18.9,32.8,59.7,20.7,95.9,34.8,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-74.44999232,40.50084047
Kuala Lumpur,Asia,Malaysia,300,UCSI University,MY,M,CO,HI,C,22.5,58.4,72.6,3.2,83.7,98,1.3,15.8,24.6,34.7,2024,34.6,11.8,23.8,39.9,22,77.8,yes,101.7295071,3.081340538
Shenzhen,Asia,China,301,Southern University of Science and Technology,CN,M,FO,VH,A,9.1,2.1,94.6,95,37.2,1.5,6.8,7.4,6.9,34.6,2024,36.9,19.3,28.5,41.1,24.5,82,yes,113.9963651,22.59396898
Frankfurt,Europe,Germany,302,Goethe-University Frankfurt am Main,DE,XL,FC,VH,A,44.4,29.1,21.4,21.3,41.3,25.6,82.1,11.5,46.6,34.5,2024,63.9,31.8,48.7,56.9,60.5,123.7,yes,8.665188577,50.12706747
Blacksburg,North America,United States,302,Virginia Polytechnic Institute and State University,US,XL,FC,VH,A,26.2,40.4,18.7,34.8,71.7,17.9,70,20.7,52.8,34.5,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-80.42599162,37.22838427
Krakow,Europe,Poland,304,Jagiellonian University,PL,XL,FC,VH,A,37.3,47.2,65.1,6.2,4.9,13.4,59.4,27.9,57.7,34.3,2024,41.9,19.2,31.1,35.9,35.7,66.2,no,19.93032328,50.06106447
Notre Dame,North America,United States,304,University of Notre Dame,US,L,CO,VH,B,26.5,32.2,59.7,39.1,23.3,17.7,32,45.2,34.6,34.3,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-86.23811882,41.70505037
Johannesburg,Africa,South Africa,306,University of Johannesburg,ZA,L,CO,VH,A,16.2,21.4,36.8,20.7,96.3,50.6,96.9,43.6,73.6,34,2024,36.1,10.8,24.1,28.9,29.4,88.3,yes,27.8881742,-26.22180061
Daegu,Asia,South Korea,307,Daegu Gyeongbuk Institute of Science and Technology (DGIST),KR,S,FO,VH,A,10.4,7.5,89,100,5.3,3.7,1,4.7,,34,2024,64.4,17.1,42,83.1,32.4,90.6,no,128.4544876,35.70468747
Swansea,Europe,United Kingdom,307,Swansea University,UK,L,FC,HI,A,21,45,23.6,27.4,73.1,54.1,59,10.6,61,33.9,2024,63.7,33.5,49.4,55.5,63.9,90.1,no,-4.012387122,51.61414266
Seri Iskandar,Asia,Malaysia,307,Universiti Teknologi PETRONAS (UTP),MY,S,SP,,B,18.2,31.6,34.6,65.7,85.2,18.5,24.2,9.9,2.9,33.9,2024,30.5,8.2,19.9,35.4,18.3,62.1,no,100.9686336,4.383627596
Hobart,Oceania,Australia,307,University of Tasmania,AU,M,CO,VH,A,17.2,7.8,17.7,58.1,75.1,95.8,48.8,14.8,47.2,33.9,2024,72.8,36.6,55.6,73.9,66.9,93.6,no,145.29665,-41.96749833
Doha,Asia,Qatar,310,Hamad Bin Khalifa University,QA,S,FO,VH,A,11.5,3.9,100,88.6,,,28.1,10.3,,33.8,2024,55.6,42.1,49.2,44.2,51.2,109.6,yes,51.42977248,25.31413138
Barcelona,Europe,Spain,310,Universitat Pompeu Fabra (Barcelona),ES,M,FO,VH,A,30.9,22.8,13.1,55.6,77.9,26.6,38.4,15.3,13.2,33.8,2024,53.7,32.6,43.7,47.6,52.9,75.2,yes,2.174744215,41.38430299
Stuttgart,Europe,Germany,312,Universitat Stuttgart,DE,L,CO,VH,A,23.7,27.2,6.1,64.8,37.4,49.8,36.5,19.4,33.8,33.7,2024,61.7,27.8,45.6,58.3,53.9,127.8,yes,9.097576283,48.76624696
Bloomington,North America,United States,313,Indiana University Bloomington,US,XL,FC,VH,A,35.1,24.4,30.5,21.6,40.5,12.7,68.5,52.2,62.5,33.5,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-86.52558222,39.16824487
Oulu,Europe,Finland,313,University of Oulu,FI,M,FC,VH,A,15.8,17.3,26.4,56.9,52.5,9.4,75.4,16.6,88.4,33.5,2024,65.5,20.8,44.3,61.6,63.8,97.3,no,25.46371858,65.05931768
Islamabad,Asia,Pakistan,315,Quaid-i-Azam University,PK,M,CO,VH,A,15.8,40.3,2.8,97,3.4,1.4,23,5.8,23,33.4,2024,20.3,4.7,12.9,18.1,14.1,24.7,yes,73.13554608,33.74764797
Saint Petersburg,Europe,Russia,315,Saint Petersburg State University,RU,L,FC,VH,A,40.8,24,61.6,5.1,5.2,41.7,69.5,52.8,36.1,33.4,2024,31.3,12.6,22.4,26.9,28.2,49.8,yes,30.29634498,59.94189397
Turku,Europe,Finland,315,University of Turku,FI,L,FC,VH,A,28.3,21.1,52.3,32.4,27.2,4.3,62.9,27.8,77.7,33.4,2024,65.5,20.8,44.3,61.6,63.8,97.3,no,22.28221008,60.45422667
Burnaby,North America,Canada,318,Simon Fraser University,CA,L,CO,VH,A,25.5,13.5,5.7,42.5,96.8,86.3,34.5,17.6,54.3,33.3,2024,68.4,36,53.1,70.7,64,83.3,no,-123.1779401,49.2811471
Moscow,Europe,Russia,319,Bauman Moscow State Technical University,RU,L,CO,VH,A,31.3,44.4,100,1.4,53.6,58.9,1,12.2,10.5,33.2,2024,35.7,21.1,28.8,30.2,32.6,60.6,yes,37.68243548,55.76598687
Paris,Europe,France,319,Sciences Po ,FR,L,SP,,A,17.7,27.6,88,3.2,54.9,97.1,1.4,76.3,54.6,33.2,2024,75.4,42,59.5,78.7,70.1,81.4,yes,-2.122363318,48.8566572
Madrid,Europe,Spain,319,Universidad Carlos III de Madrid (UC3M),ES,L,FO,VH,A,32.9,49.1,53.3,4.8,56.5,41.2,18.5,12.9,62.5,33.2,2024,52.7,31.7,42.7,49.2,52.9,86.4,yes,-4.025906822,40.43042079
Victoria,North America,Canada,322,University of Victoria (UVic),CA,L,CO,VH,A,17.3,7.6,3.5,65,95.2,48.6,19,12.2,89.8,33,2024,76.7,47.2,62.7,82.6,70.6,59.8,yes,-123.3147512,48.4631344
Guangzhou,Asia,China,323,Sun Yat-sen University,CN,XL,FC,VH,A,36.4,22.3,48.8,44.1,2.4,4.2,33.3,16.7,38.4,32.8,2024,35.1,13.3,24.8,40.2,22.4,70,yes,120.2627998,22.63469054
Chicago,North America,United States,323,University of Illinois at Chicago (UIC),US,XL,FC,VH,A,40.9,23.5,31.6,26.2,8.5,17,50.1,31.5,62.8,32.8,2024,80,58.8,69.9,87,74.1,119.9,yes,-87.65077487,41.87029607
Pretoria,Africa,South Africa,323,University of Pretoria,ZA,XL,FC,VH,A,23.6,52.3,3.5,20.7,25,6.4,97.6,58.4,78.4,32.8,2024,34.2,10.3,22.9,28.3,27,99.4,yes,28.12283348,-25.7098835
Magill,Oceania,Australia,326,University of South Australia,AU,L,CO,VH,A,22.5,14,22.4,32.8,99.8,45.1,58.6,15.4,81.7,32.7,2024,72.8,36.6,55.6,73.9,66.9,93.6,no,136.5164252,-35.38884567
Odense,Europe,Denmark,326,University of Southern Denmark (SDU),DK,L,CO,VH,A,20,18,27.1,40.7,83.2,22.7,49.7,17.7,88.7,32.7,2024,75.2,28.6,53.1,65,82.6,103.3,no,10.35451909,55.37745892
London,Europe,United Kingdom,328,"City, University of London",UK,L,CO,VH,A,21.4,18.1,6.7,42.2,95,99.3,22.1,28.3,41.7,32.6,2024,80.1,71.6,76.1,64.2,79.7,83,yes,-0.105037323,51.527971
Gwangju,Asia,South Korea,328,Gwangju Institute of Science and Technology (GIST),KR,S,FO,VH,A,17.4,8.9,38.4,100,21.6,10,1.3,8.1,2.1,32.6,2024,64.4,17.1,42,83.1,32.4,90.6,no,126.8368133,35.22759447
Paris,Europe,France,328,Universite Paris 1 Pantheon-Sorbonne ,FR,XL,FO,VH,A,65.2,24.9,4.2,3.4,38.2,46.4,30,32.2,16.3,32.6,2024,75.4,42,59.5,78.7,70.1,81.4,yes,2.329484451,48.83990687
Lugano,Europe,Switzerland,328,USI - Universit? della Svizzera italiana,CH,S,FO,VH,A,5.8,3.9,82.9,56.4,100,100,4.2,7.9,1.2,32.6,2024,112.2,52.8,84,116.7,104.1,118.9,no,8.955580976,46.01070807
Seoul,Asia,South Korea,332,Kyung Hee University,KR,L,FC,VH,B,28,41.6,84.8,14,14.2,54,16.7,12.1,33.5,32.5,2024,70.3,29.1,50.8,92.1,37.4,91.3,yes,127.0488199,37.59671217
Santa Cruz,North America,United States,332,"University of California, Santa Cruz",US,L,CO,VH,A,18.4,4.9,7.2,79.6,63.6,8.9,19.3,10.7,89.1,32.5,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-122.0784254,36.973169
Tehran,Asia,Iran,334,Sharif University of Technology,IR,M,FO,VH,A,10.1,43.8,6.1,99.1,7.3,1.3,9.7,25.7,1.9,32.4,2024,29.7,12.4,21.5,23.1,18.2,18.2,yes,51.34912838,35.70364907
Naples,Europe,Italy,335,University of Naples - Federico II,IT,XL,FC,VH,A,35.2,17,4.3,61.8,2.4,1.1,81.6,7.1,34.6,32.3,2024,55.7,19.7,38.7,52.6,53.3,53.2,yes,14.25517818,40.84536787
Aalborg,Europe,Denmark,336,Aalborg University,DK,L,FC,VH,A,20,22.2,31.5,42.4,76.4,18.2,79.2,14.7,35.8,32.2,2024,75.2,28.6,53.1,65,82.6,103.3,no,9.87960093,57.03419775
Ankara,Asia,Turkey,336,Middle East Technical University,TR,L,CO,VH,A,29,63.7,9,22.2,11.3,17.4,32.2,24.6,84.8,32.2,2024,33.5,12.6,23.6,30.7,25.3,43.5,yes,32.77723688,39.89108802
Lima,Latin America,Peru,336,Pontificia Universidad Catolica del Peru,PE,L,FO,VH,B,46.3,77.1,25.9,1.8,3.9,1.4,2.5,35.2,31.3,32.2,2024,34.4,13,24.3,34.6,23.5,25.2,yes,-77.08070692,-12.06895214
Canterbury,Europe,United Kingdom,336,University of Kent,UK,L,CO,VH,A,17,6.7,13.3,43.9,96.6,72.8,43,20.2,85.2,32.2,2024,63.7,33.5,49.4,55.5,63.9,90.1,no,1.060429277,51.29673947
Beijing,Asia,China,340,Beijing Institute of Technology,CN,L,FO,VH,A,22.7,18.1,41.1,76.4,3.1,4.2,17.1,14.1,23.7,32.1,2024,37.1,26.4,32,37.8,23.9,82.2,yes,116.3098137,39.96037037
Ashburn,North America,United States,340,George Washington University,US,L,FC,VH,B,26.9,24.5,28.3,29.3,31.6,27.6,61,49.5,62.8,32.1,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-77.05117412,38.89971447
Moscow,Europe,Russia,342,RUDN University,RU,L,FC,VH,A,22.4,45,92.2,2,8.2,92.7,60.1,12.2,4.4,32,2024,35.7,21.1,28.8,30.2,32.6,60.6,yes,37.48842259,55.6681511
London,Europe,United Kingdom,343,Brunel University London,UK,L,CO,VH,A,11.3,13.3,7.9,44.2,99.7,99.6,56.9,18.5,62.8,31.9,2024,80.1,71.6,76.1,64.2,79.7,83,yes,-0.475324223,51.532138
Aveiro,Europe,Portugal,344,University of Aveiro,PT,L,CO,VH,A,13.4,6.6,13.8,84.3,4.3,13.5,72.3,6.7,69.3,31.6,2024,46.6,25.4,36.5,42.9,37.9,46.5,no,-8.660037024,40.63057907
Surabaya,Asia,Indonesia,345,Airlangga University,ID,L,FC,HI,A,34,72.5,52.4,1.4,44.6,6.3,1.4,14.4,30.5,31.5,2024,28.5,8.3,18.9,33.6,14.4,25.8,no,112.7520379,-7.26902918
Saskatoon,North America,Canada,345,University of Saskatchewan,CA,L,FC,VH,A,12,6.8,17.3,54.3,70,51.8,47.2,20.9,94.9,31.5,2024,69.7,26,48.9,67.3,63.8,84.7,yes,-106.6339316,52.13339887
Athens,Europe,Greece,347,National Technical University of Athens,GR,L,FO,VH,A,20.5,42.7,4.7,72.3,1.3,4.3,32,31.8,7.8,31.4,2024,55.9,16.4,37.2,49.5,54.9,43.3,yes,23.72922883,37.98783992
Bogota,Latin America,Colombia,347,Pontificia Universidad Javeriana,CO,L,FC,HI,B,43.2,72.7,22.9,1.7,4,2.7,4.2,57.3,29.1,31.4,2024,31.7,10.2,21.5,30.9,22.5,26.3,yes,-74.06723943,4.628487495
Madrid,Europe,Spain,349,Universidad Politecnica de Madrid (UPM),ES,XL,SP,,A,31.2,49.3,14.9,11.4,3.2,30.7,59.9,37.3,83.5,31.3,2024,52.7,31.7,42.7,49.2,52.9,86.4,yes,-3.839120574,40.42135299
Pisa,Europe,Italy,349,University of Pisa,IT,L,FC,VH,A,40.4,12.7,7.5,41.1,5.9,4.1,67.6,13.4,73.6,31.3,2024,58.9,21.1,41,56.8,55,62.8,no,10.39628438,43.71672347
Lappeenranta ,Europe,Finland,351,Lappeenranta-Lahti University of Technology LUT,FI,S,SP,,A,6.9,13.3,11.1,97.7,45.2,18.2,14.7,11.4,39,31.2,2024,65.5,20.8,44.3,61.6,63.8,97.3,no,28.09176368,61.06499647
Coimbra,Europe,Portugal,351,University of Coimbra,PT,L,FC,VH,A,28.9,13.1,11.3,41.6,10.7,37.7,78.8,15.6,79.5,31.2,2024,45.7,19.3,33.2,42.4,36.2,52.1,yes,-8.428668124,40.20763937
Toronto,North America,Canada,353,York University,CA,XL,CO,VH,A,23,21,4.6,29.2,50.6,81.2,28,53.2,80.8,31.1,2024,71.6,50,61.4,72.3,67.9,84.5,yes,-79.50444332,43.77345347
Barcelona,Europe,Spain,354,Universitat Politecnica de Catalunya BarcelonaTech (UPC),ES,L,FO,VH,A,31.9,22,41.2,22.3,8,21.2,72.8,15.1,73.3,31,2024,53.7,32.6,43.7,47.6,52.9,75.2,yes,2.113165176,41.38926747
Nur-Sultan,Asia,Kazakhstan,355,L.N. Gumilyov Eurasian National University (ENU),KZ,L,FO,VH,A,29.5,51.7,96.8,1.4,59.3,5.7,1.1,10.9,9.6,30.9,2024,33.5,13.6,24,31.9,29.7,36.8,no,71.46487448,51.15814467
Chengdu,Asia,China,355,Sichuan University,CN,XL,FC,VH,A,20.1,7.6,11.4,94.7,6.6,5.4,26.2,14.8,18.8,30.9,2024,31.8,7.7,20.3,35.7,19.9,68.5,yes,104.0684471,30.66396397
Tsukuba City,Asia,Japan,355,University of Tsukuba,JP,L,FC,VH,A,35.8,24,59,19,13.8,21.2,31.7,11.5,57.7,30.9,2024,50.7,15.1,33.8,55.4,30.9,99.5,no,140.1017546,36.11159827
Florence,Europe,Italy,358,University of Florence,IT,XL,FC,VH,A,33.6,5.7,4.1,49.6,8.1,10.7,73,17.4,81.1,30.8,2024,65.4,29.6,48.4,63.3,62.3,53.7,yes,11.25682118,43.77779967
Tartu,Europe,Estonia,358,University of Tartu,EE,M,FC,VH,A,24.4,9,91.5,11.5,46.5,22.2,73.7,42.1,27.6,30.8,2024,54.5,14.4,35.5,48.7,46.2,63,yes,26.68716444,58.37587425
Jinan,Asia,China,360,Shandong University,CN,XL,FC,VH,A,15.6,31.8,17.6,78.7,8.8,3.4,16.3,17.4,28.4,30.7,2024,34.1,13.4,24.3,37.6,21,60.5,no,117.0128396,36.65088475
Tehran,Asia,Iran,360,University of Tehran,IR,XL,CO,VH,A,18.7,38.8,3.4,67.5,2.1,1.8,68.6,17.5,18.4,30.7,2024,29.7,12.4,21.5,23.1,18.2,18.2,yes,51.39271798,35.70328487
Lincoln,Oceania,New Zealand,362,Lincoln University ,NZ,S,CO,VH,A,7.9,5.3,39.9,51.5,100,91,1.2,31.7,37.8,30.6,2024,68.2,28.8,49.5,71.7,58.8,93,no,172.4616503,-43.64536247
Innsbruck,Europe,Austria,362,Universitat Innsbruck,AT,L,FC,HI,A,20.2,7,69.2,11.2,100,100,32.9,35.7,16.5,30.6,2024,66.8,23.7,46.4,64.8,59,84.4,no,11.38122568,47.26335417
Sharjah,Asia,United Arab Emirates,364,American University of Sharjah,AE,S,CO,VH,B,20,39.1,20.7,20,100,100,6.4,36.9,3,30.3,2024,46.5,23.8,35.8,35.6,32.3,71.5,yes,55.49007538,25.31156018
Guwahati,Asia,India,364,Indian Institute of Technology Guwahati (IITG),IN,M,CO,VH,A,17,25.2,7.7,98.1,3,1.3,5.8,5.5,4.4,30.3,2024,22.2,6.2,14.6,23.5,15.6,60.7,no,91.54647655,26.13639182
Turin,Europe,Italy,364,University of Turin,IT,XL,FC,VH,A,39.8,5.7,2.9,36.8,4.6,5.4,69.4,32.5,84.3,30.3,2024,59.6,18.2,39.9,58.4,55.2,66.2,yes,7.686476776,45.06965277
Islamabad,Asia,Pakistan,367,National University of Sciences And Technology (NUST) Islamabad,PK,M,CO,VH,A,18.9,72.7,77.4,11.7,2.6,3.9,23.5,9,30.7,30.2,2024,20.3,4.7,12.9,18.1,14.1,24.7,yes,72.99042608,33.64248877
Nicosia,Europe,Cyprus,368,University of Cyprus (UCY),CY,M,CO,VH,A,8.9,3.1,4.9,77.8,92.9,25.4,55.9,18.6,24.4,30.1,2024,53.6,18.9,37.2,47.2,49.3,65.1,yes,33.37254941,35.15346566
Roorkee,Asia,India,369,Indian Institute of Technology Roorkee (IITR),IN,M,FO,VH,A,17.8,22.5,7.8,91.2,1.3,2.2,3.6,10.5,27.6,30,2024,22.2,6.2,14.6,23.5,15.6,60.7,no,77.88534131,29.8669141
New York City,North America,United States,369,Yeshiva University,US,M,FC,VH,B,2.8,3.3,75,99.7,,8.9,3.6,10.4,1.3,30,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-73.93229542,40.85060407
Giza,Africa,Egypt,371,Cairo University,EG,XL,FC,VH,A,43.7,33.2,8,2.8,2.7,6.2,48.7,72.5,78.6,29.9,2024,29.1,5.5,17.9,27.8,21.7,15.2,no,31.19399444,30.02487344
Tilburg,Europe,Netherlands,371,Tilburg University,NL,L,FO,VH,A,15.2,33.4,10.4,44.2,96.6,58.4,9.4,14.1,31,29.9,2024,64.3,34.5,50.2,57.4,61,103.3,no,5.039828177,51.56319057
Rio de Janeiro,Latin America,Brazil,371,Universidade Federal do Rio de Janeiro,BR,XL,FC,VH,A,60.1,17,15.4,8.3,7.9,1.6,51.7,36.8,23,29.9,2024,38.7,12.3,26.2,33.1,29.3,20.7,yes,-43.24545842,-22.8987478
London,Europe,United Kingdom,374,"Birkbeck, University of London",UK,M,FO,VH,A,10.8,3.5,14.1,65.1,97.5,98,9.1,12.3,12,29.7,2024,80.1,71.6,76.1,64.2,79.7,83,yes,-0.132889523,51.521856
